year,year_ending,police_region,lga_name,incidents,rate_per_100k
2015,December,1 North West Metro,WHITTLESEA,10379,5272.622900019
2015,December,1 North West Metro,WYNDHAM,11314,5291.490307041
2015,December,1 North West Metro,YARRA,10057,11184.01298889
2015,December,2 Eastern,BOROONDARA,5908,3380.771717796
2015,December,2 Eastern,KNOX,7345,4628.229363579
2015,December,2 Eastern,MANNINGHAM,3352,2775.179037132
2015,December,2 Eastern,MAROONDAH,5793,5125.505428099
2015,December,2 Eastern,MONASH,7523,3976.762134331
2015,December,2 Eastern,WHITEHORSE,5768,3460.54391975
2015,December,2 Eastern,YARRA RANGES,5442,3547.796154924
2015,December,3 Southern Metro,BAYSIDE,3627,3581.585495912
2015,December,3 Southern Metro,CARDINIA,4675,5065.115170426
2015,December,3 Southern Metro,CASEY,15176,5066.638177399
2015,December,3 Southern Metro,FRANKSTON,10919,7924.377676174
2015,December,3 Southern Metro,GLEN EIRA,5131,3516.213919575
2015,December,3 Southern Metro,GREATER DANDENONG,13491,8644.696625038
2015,December,3 Southern Metro,MORNINGTON PENINSULA,8135,5121.796122923
2015,December,3 Southern Metro,PORT PHILLIP,9792,9204.651206512
2015,December,3 Southern Metro,STONNINGTON,7791,7212.019106158
